FlightNumber,Date,BoosterVersion,PayloadMass,Payload,Orbit,LaunchSite,LandingOutcome,Flights,GridFins,Reused,Legs,LandingPad,Block,Customers,Mission_Outcome,ReusedCount,Serial,Longitude,Latitude
52,2018-06-29,Falcon 9,2410.0,CRS-15,ISS,CCSFS SLC 40,None None,2,False,True,False,,4.0,NASA (CRS),True,1,B1045,-80.577366,28.5618571
53,2018-07-22,Falcon 9,7076.0,Telstar 19V,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,Telesat,True,2,B1047,-80.577366,28.5618571
54,2018-07-25,Falcon 9,9600.0,Iridium NEXT 7,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,Iridium Communications,True,4,B1048,-120.610829,34.632093
55,2018-08-07,Falcon 9,5800.0,Telkom-4,GTO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,Telkom,True,3,B1046,-80.577366,28.5618571
56,2018-09-10,Falcon 9,7060.0,Telstar 18V,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,Telesat,True,9,B1049,-80.577366,28.5618571
57,2018-10-08,Falcon 9,2800.0,SAOCOM 1A,SSO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,CONAE,True,4,B1048,-120.610829,34.632093
58,2018-11-15,Falcon 9,3000.0,Es’hail 2,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,Es’hailSat,True,2,B1047,-80.6039558,28.6080585
59,2018-12-03,Falcon 9,4000.0,SSO-A,SSO,VAFB SLC 4E,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,"Spaceflight Industries, Inc",True,3,B1046,-120.610829,34.632093
60,2018-12-05,Falcon 9,2573.0,CRS-16,ISS,CCSFS SLC 40,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,NASA (CRS),True,0,B1050,-80.577366,28.5618571
61,2018-12-23,Falcon 9,4400.0,GPS III SV01,MEO,CCSFS SLC 40,None None,1,False,False,False,,5.0,USAF,True,0,B1054,-80.577366,28.5618571
62,2019-01-11,Falcon 9,9600.0,Iridium NEXT 8,PO,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,Iridium Communications,True,9,B1049,-120.610829,34.632093
63,2019-03-02,Falcon 9,12259.0,CCtCap Demo Mission 1,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CCtCap),True,12,B1051,-80.6039558,28.6080585
64,2019-05-04,Falcon 9,2482.0,CRS-17,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CRS),True,3,B1056,-80.577366,28.5618571
65,2019-05-24,Falcon 9,13200.0,Starlink v0.9,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-80.577366,28.5618571
66,2019-06-12,Falcon 9,1425.0,RADARSAT Constellation,SSO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,CSA,True,12,B1051,-120.610829,34.632093
67,2019-07-25,Falcon 9,2227.7,CRS-18,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,NASA (CRS),True,3,B1056,-80.577366,28.5618571
68,2019-08-06,Falcon 9,6500.0,Amos-17,GTO,CCSFS SLC 40,None None,3,False,True,False,,5.0,Spacecom,True,2,B1047,-80.577366,28.5618571
69,2019-11-11,Falcon 9,15600.0,Starlink-1,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,4,B1048,-80.577366,28.5618571
70,2019-12-05,Falcon 9,5000.0,CRS-19,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CRS),True,5,B1059,-80.577366,28.5618571
71,2019-12-17,Falcon 9,6800.0,JCSat 18 / Kacific 1,GTO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,"SKY Perfect JSAT Corporation,Kacific Broadband Satellites Pte Ltd",True,3,B1056,-80.577366,28.5618571
72,2020-01-07,Falcon 9,15600.0,Starlink-2,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-80.577366,28.5618571
73,2020-01-19,Falcon 9,8191.079109589042,Crew Dragon In Flight Abort Test,SO,KSC LC 39A,None None,4,False,True,False,,5.0,NASA (CCtCap),True,3,B1046,-80.6039558,28.6080585
74,2020-01-29,Falcon 9,15600.0,Starlink-3,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-80.577366,28.5618571
75,2020-02-17,Falcon 9,15600.0,Starlink-4,VLEO,CCSFS SLC 40,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,3,B1056,-80.577366,28.5618571
76,2020-03-07,Falcon 9,1977.0,CRS-20,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,NASA (CRS),True,5,B1059,-80.577366,28.5618571
77,2020-03-18,Falcon 9,15600.0,Starlink-5,VLEO,KSC LC 39A,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,4,B1048,-80.6039558,28.6080585
78,2020-04-22,Falcon 9,15600.0,Starlink-6,VLEO,KSC LC 39A,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-80.6039558,28.6080585
79,2020-05-30,Falcon 9,9525.0,CCtCap Demo Mission 2,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CCtCap),True,13,B1058,-80.6039558,28.6080585
80,2020-06-04,Falcon 9,15600.0,Starlink-7,VLEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,9,B1049,-80.577366,28.5618571
81,2020-06-13,Falcon 9,15600.0,Starlink-8,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,5,B1059,-80.577366,28.5618571
82,2020-06-30,Falcon 9,3880.0,GPS III SV03 (Columbus),MEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,USAF,True,12,B1060,-80.577366,28.5618571
83,2020-07-20,Falcon 9,8191.079109589042,ANASIS-II,GEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,South Korea,True,13,B1058,-80.577366,28.5618571
84,2020-08-18,Falcon 9,15600.0,Starlink-10,VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-80.577366,28.5618571
85,2020-08-30,Falcon 9,1600.0,SAOCOM 1B,SSO,CCSFS SLC 40,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,5.0,CONAE,True,5,B1059,-80.577366,28.5618571
86,2020-09-03,Falcon 9,15600.0,Starlink-11,VLEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1060,-80.6039558,28.6080585
87,2020-10-06,Falcon 9,15600.0,Starlink-12,VLEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,13,B1058,-80.6039558,28.6080585
88,2020-10-18,Falcon 9,15600.0,Starlink-13,VLEO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-80.6039558,28.6080585
89,2020-10-24,Falcon 9,15600.0,Starlink-14,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,12,B1060,-80.577366,28.5618571
90,2020-11-05,Falcon 9,3681.0,GPS III SV04 (Sacagawea),MEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,United States Space Force,True,8,B1062,-80.577366,28.5618571
91,2020-11-16,Falcon 9,8191.079109589042,Crew-1,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,NASA (CCtCap),True,9,B1061,-80.6039558,28.6080585
92,2020-11-21,Falcon 9,1440.0,Sentinel-6 Michael Freilich,PO,VAFB SLC 4E,True RTLS,1,True,False,True,5e9e3032383ecb554034e7c9,5.0,NASA,True,6,B1063,-120.610829,34.632093
93,2020-11-25,Falcon 9,15600.0,Starlink-15,VLEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-80.577366,28.5618571
94,2020-12-06,Falcon 9,2972.0,CRS-21,ISS,KSC LC 39A,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CRS),True,13,B1058,-80.6039558,28.6080585
95,2020-12-13,Falcon 9,7000.0,SXM-7,GTO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SiriusXM,True,12,B1051,-80.577366,28.5618571
96,2020-12-19,Falcon 9,8191.079109589042,NROL-108,,KSC LC 39A,True RTLS,5,True,True,True,5e9e3032383ecb267a34e7c7,5.0,National Reconnaissance Office,True,5,B1059,-80.6039558,28.6080585
97,2021-01-08,Falcon 9,3500.0,Turksat 5A,GTO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,Turksat,True,12,B1060,-80.577366,28.5618571
98,2021-01-20,Falcon 9,15600.0,Starlink-16,VLEO,KSC LC 39A,True ASDS,8,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,12,B1051,-80.6039558,28.6080585
99,2021-01-24,Falcon 9,8191.079109589042,Transporter-1,SSO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,,True,13,B1058,-80.577366,28.5618571
100,2021-02-04,Falcon 9,15600.0,Starlink-18,VLEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1060,-80.577366,28.5618571
101,2021-02-16,Falcon 9,15600.0,Starlink-19,VLEO,CCSFS SLC 40,False ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,5,B1059,-80.577366,28.5618571
102,2021-03-04,Falcon 9,15600.0,Starlink-17,VLEO,KSC LC 39A,True ASDS,8,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-80.6039558,28.6080585
103,2021-03-11,Falcon 9,15600.0,Starlink-20,VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,13,B1058,-80.577366,28.5618571
104,2021-03-14,Falcon 9,15600.0,Starlink-21,VLEO,KSC LC 39A,True ASDS,9,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-80.6039558,28.6080585
105,2021-03-24,Falcon 9,15600.0,Starlink-22,VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1060,-80.577366,28.5618571
106,2021-04-07,Falcon 9,15600.0,Starlink-23,VLEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,13,B1058,-80.577366,28.5618571
107,2021-04-23,Falcon 9,8191.079109589042,Crew-2,ISS,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CCtCap),True,9,B1061,-80.6039558,28.6080585
108,2021-04-29,Falcon 9,15600.0,Starlink-24,VLEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,12,B1060,-80.577366,28.5618571
109,2021-05-04,Falcon 9,15600.0,Starlink-25,VLEO,KSC LC 39A,True ASDS,9,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-80.6039558,28.6080585
110,2021-05-09,Falcon 9,15600.0,Starlink-27,VLEO,CCSFS SLC 40,True ASDS,10,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-80.577366,28.5618571
111,2021-05-26,Falcon 9,15600.0,Starlink-28,VLEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,6,B1063,-80.577366,28.5618571
112,2021-06-03,Falcon 9,3328.0,CRS-22,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,NASA (CRS),True,5,B1067,-80.6039558,28.6080585
113,2021-06-06,Falcon 9,7000.0,SXM-8,GTO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SiriusXM,True,9,B1061,-80.577366,28.5618571
114,2021-06-17,Falcon 9,3681.0,GPS III SV05,MEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,USAF,True,8,B1062,-80.577366,28.5618571
115,2021-06-30,Falcon 9,8191.079109589042,Transporter-2,SSO,CCSFS SLC 40,True RTLS,8,True,True,True,5e9e3032383ecb267a34e7c7,5.0,,True,12,B1060,-80.577366,28.5618571
116,2021-08-29,Falcon 9,8191.079109589042,CRS-23,ISS,KSC LC 39A,True ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5.0,NASA (CRS),True,9,B1061,-80.6039558,28.6080585
117,2021-09-14,Falcon 9,15600.0,Starlink 2-1 (v1.5),PO,VAFB SLC 4E,True ASDS,10,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,9,B1049,-120.610829,34.632093
118,2021-09-16,Falcon 9,8191.079109589042,Inspiration4,LEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,Jared Isaacman,True,8,B1062,-80.6039558,28.6080585
119,2021-11-11,Falcon 9,12519.0,Crew-3,ISS,KSC LC 39A,True ASDS,2,True,True,True,5e9e3033383ecb075134e7cd,5.0,NASA (CCtCap),True,5,B1067,-80.6039558,28.6080585
120,2021-11-13,Falcon 9,13260.0,Starlink 4-1 (v1.5),LEO,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,SpaceX,True,13,B1058,-80.577366,28.5618571
121,2021-11-24,Falcon 9,670.0,DART (Double Asteroid Redirection Test),TLI,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,NASA,True,6,B1063,-120.610829,34.632093
122,2021-12-01,Falcon 9,13260.0,Starlink 4-3 (v1.5),PO,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,12,B1060,-80.577366,28.5618571
123,2021-12-09,Falcon 9,330.0,IPXE,LEO,KSC LC 39A,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,"NASA,ASI",True,9,B1061,-80.6039558,28.6080585
124,2021-12-18,Falcon 9,13260.0,Starlink 4-4 (v1.5),PO,VAFB SLC 4E,True ASDS,11,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,SpaceX,True,12,B1051,-120.610829,34.632093
125,2021-12-19,Falcon 9,3500.0,Türksat 5B,GTO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecb075134e7cd,5.0,Turksat,True,5,B1067,-80.577366,28.5618571
126,2021-12-21,Falcon 9,8191.079109589042,CRS-24,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,NASA (CRS),True,1,B1069,-80.6039558,28.6080585
127,2022-01-06,Falcon 9,13260.0,Starlink 4-5 (v1.5),VLEO,KSC LC 39A,True ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,8,B1062,-80.6039558,28.6080585
128,2022-01-13,Falcon 9,8191.079109589042,NROL-87,LEO,CCSFS SLC 40,True RTLS,10,True,True,True,5e9e3032383ecb267a34e7c7,5.0,"National Reconnaissance Office,USAF",True,13,B1058,-80.577366,28.5618571
129,2022-01-19,Falcon 9,13260.0,Starlink 4-6 (v1.5),VLEO,KSC LC 39A,True ASDS,10,True,True,True,5e9e3033383ecb075134e7cd,5.0,SpaceX,True,12,B1060,-80.6039558,28.6080585
130,2022-01-31,Falcon 9,2240.0,CSG-2,SSO,CCSFS SLC 40,True RTLS,3,True,True,True,5e9e3032383ecb267a34e7c7,5.0,ESA,True,6,B1052,-80.577366,28.5618571
131,2022-02-02,Falcon 9,8191.079109589042,NROL-87,LEO,VAFB SLC 4E,True RTLS,1,True,False,True,5e9e3032383ecb554034e7c9,5.0,"National Reconnaissance Office,USAF",True,3,B1071,-120.610829,34.632093
